Brand_name,Price,Rating,Rating_count,Review_count,Ranking,URL
"Yale YDM 3115-A with RFID, Pin Code, Mech Keys & App Enabled Access, Alarm Feature Smart Door Lock","24,490",0,0,0,21,https://www.flipkart.com/yale-ydm-3115-a-rfid-pin-code-mech-keys-app-enabled-access-alarm-feature-smart-door-lock/p/itm24c7e2f5f58ff?pid=SLOGXWFYJDRHVXF6&lid=LSTSLOGXWFYJDRHVXF6H5MHJ2&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_61&otracker=search&fm=organic&iid=en_Ew92U4r_rBR4Z_DObpN29vG5HbDSGYVBK8WcstUomsh6PdNbwWk-nBfni6YJv1SPsPtxpvpVuf_Ssu4ODQFtdg%3D%3D&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"Qubo Smart Elite Lock by HERO GROUP 5-Way Unlocking Fingerprint Pincode Mobile App Smart Door Lock","12,990",4.3,8,1,22,https://www.flipkart.com/qubo-smart-elite-lock-hero-group-5-way-unlocking-fingerprint-pincode-mobile-app-door/p/itm0973ead2f8956?pid=SLOGZ4MNB2UW442R&lid=LSTSLOGZ4MNB2UW442RWZHKAR&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_62&otracker=search&fm=organic&iid=en_Ew92U4r_rBR4Z_DObpN29vG5HbDSGYVBK8WcstUomsiLkwXZsoMTRFRAUTswpzybwO97HgwJ6XUbQwJvA7TlKoQEIsITtCzc4bHaOMTqL08%3D&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"OZONE Smart Internal Door Lock for Glass Doors with 4-way Access Mobile App, Fingerprint, Password and RFID Card | Black Smart Door Lock","18,242",0,0,0,23,https://www.flipkart.com/ozone-smart-internal-door-lock-glass-doors-4-way-access-mobile-app-fingerprint-password-rfid-card-black/p/itm500832313e8b1?pid=SLOGJTH3SFPZPHV3&lid=LSTSLOGJTH3SFPZPHV31O69J4&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_63&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGJTH3SFPZPHV3.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"OZONE OZ-FGL-Life WD Smart Door Lock","18,242",0,0,0,24,https://www.flipkart.com/ozone-oz-fgl-life-wd-smart-door-lock/p/itma37baafbf6100?pid=SLOGQEYSHCSYSRQH&lid=LSTSLOGQEYSHCSYSRQHS4HWY3&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_64&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGQEYSHCSYSRQH.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"ZKTeco ML300 Wifi, Bluetooth, Passcode, Fingerprint, Key Smart Door Lock","12,980",0,0,0,25,https://www.flipkart.com/zkteco-ml300-wifi-bluetooth-passcode-fingerprint-key-smart-door-lock/p/itm4577d3a590796?pid=SLOG7FBSFUF9MFRQ&lid=LSTSLOG7FBSFUF9MFRQESBAYH&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_65&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOG7FBSFUF9MFRQ.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"Denler Automatic WiFi Smart Door Lock, Digital Door Lock, Fingerprint Lock 25-50mm Smart Door Lock","12,999",0,0,0,26,https://www.flipkart.com/denler-automatic-wifi-smart-door-lock-digital-fingerprint-lock-25-50mm/p/itm767220cb19fda?pid=SLOGMV6KVHASKBSY&lid=LSTSLOGMV6KVHASKBSYYW8LLN&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_66&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGMV6KVHASKBSY.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"Atomberg SL1 Rose Gold Smart Door Lock","15,999",4.8,28,16,27,https://www.flipkart.com/atomberg-sl1-rose-gold-smart-door-lock/p/itm51cdcb8b535b2?pid=SLOGTBZ36YXCVHPM&lid=LSTSLOGTBZ36YXCVHPMKFHYJT&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_67&otracker=search&fm=organic&iid=en_Ew92U4r_rBR4Z_DObpN29vG5HbDSGYVBK8WcstUomsgtrGbJLCxvuViikwdHs6MSN9nnk39vkmoonzXhh5bZrn3Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"SSVL Anti Theft Motion Sensor Alarm Lock for Home, Office and Bikes Security Pad Lock with Smart Alarm Smart Door Lock",550,0,0,0,28,https://www.flipkart.com/ssvl-anti-theft-motion-sensor-alarm-lock-home-office-bikes-security-pad-smart-door/p/itme0973df24fc48?pid=SLOG4YMZFHPHWN8F&lid=LSTSLOG4YMZFHPHWN8FSN9IIG&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_68&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOG4YMZFHPHWN8F.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"OZONE OZ-FGL-Life G2W Smart Door Lock","17,877",0,0,0,29,https://www.flipkart.com/ozone-oz-fgl-life-g2w-smart-door-lock/p/itm409115c5b6407?pid=SLOGPF7DTQQ89ZKE&lid=LSTSLOGPF7DTQQ89ZKEG561CH&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_69&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGPF7DTQQ89ZKE.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"Denler Smart Door Lock, 3D Face Recognition, Video Intercom, Wi-Fi Remote Unlock by App Smart Door Lock","41,999",0,0,0,30,https://www.flipkart.com/denler-smart-door-lock-3d-face-recognition-video-intercom-wi-fi-remote-unlock-app-lock/p/itm00ffd6499c133?pid=SLOGMV5ZESZHPG26&lid=LSTSLOGMV5ZESZHPG262TF2WS&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_70&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGMV5ZESZHPG26.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
